문서ID,유형,템플릿,스캔손상항목,설명
D04-01,정상,1,qty,
D04-02,정상,2,qty,
D04-03,정상,3,spec,
D04-04,정상,1,item_id,
D04-05,정상,4,qty,규격 미기재이나 품목 ID 확정 → 사전 규격 적용(원문값 없음)
D04-06,정상,2,qty,
D04-07,필수누락,1,spec,수량 누락
D04-08,필수누락,3,qty,별칭만 있음(P-01/P-02 후보) + 규격 누락 → 병합 금지
D04-09,필수누락,2,qty,단위 누락
D04-10,필수누락,4,spec,희망일 누락
D04-11,필수누락,1,need_date,수량·단위 누락
D04-12,필수누락,6,,별칭만·규격 누락·희망일 누락·배송 위치 누락(스캔 손상 없음: 원문이 이미 결함)
D04-13,모호표현,5,qty,기획안 §4-6 시연 사례. 희망일·배송 위치 확인 대상
D04-14,모호표현,1,qty,
D04-15,모호표현,2,spec,별칭 '엘보' → P-07/P-08 후보 2개(각도 미확정)
D04-16,모호표현,3,qty,
D04-17,모호표현,4,spec,
D04-18,모호표현,2,qty,별칭 '백관' + 규격 100A → 표준명 후보 P-06 단일이지만 사람 확정 필요
D04-19,단위불일치,1,qty,표준 단위 '본'인데 'm'
D04-20,단위불일치,2,spec,표준 단위 'm'인데 '개'
D04-21,단위불일치,3,spec,표준 단위 '롤'인데 '개'
D04-22,단위불일치,4,qty,표준 단위 '개'인데 '본'
D04-23,단위불일치,1,item_id,표준 단위 '개'인데 '본'
D04-24,단위불일치,2,qty,표준 단위 '본'인데 'EA'(=개)
D04-25,배송조건누락,1,qty,현장명만
D04-26,배송조건누락,6,qty,배송 위치 없음
D04-27,배송조건누락,3,spec,현장명만
D04-28,배송조건누락,6,spec,배송 위치 없음
D04-29,배송조건누락,2,qty,현장명만
D04-30,배송조건누락,3,item_id,배송 위치 없음
