품목ID,표준명,규격,표준단위,별칭,주의
P-01,볼밸브,50A,개,볼밸브;볼발브;밸브;ball valve,P-02(100A)와 별칭이 같음 → 규격 없으면 병합 금지
P-02,볼밸브,100A,개,볼밸브;볼발브;밸브;ball valve,P-01(50A)와 별칭이 같음 → 규격 없으면 병합 금지
P-03,PVC 파이프,50A,본,PVC 파이프;PVC관;PVC파이프;피브이씨 파이프;pvc pipe,P-04(100A)와 별칭이 같음 → 규격 없으면 병합 금지
P-04,PVC 파이프,100A,본,PVC 파이프;PVC관;PVC파이프;피브이씨 파이프;pvc pipe,P-03(50A)와 별칭이 같음 → 규격 없으면 병합 금지
P-05,강관,50A,본,강관;백관;스틸파이프;steel pipe,P-06(100A)와 별칭이 같음
P-06,강관,100A,본,강관;백관;스틸파이프;steel pipe,P-05(50A)와 별칭이 같음
P-07,PVC 엘보 90도,50A,개,엘보;엘보우;90도 엘보;elbow,P-08(45도)과 '엘보' 별칭 공유 → 각도 확인
P-08,PVC 엘보 45도,50A,개,엘보;엘보우;45도 엘보;45엘보,P-07(90도)과 '엘보' 별칭 공유 → 각도 확인
P-09,배관 보온재,50A,m,보온재;단열재;인슐레이션,길이 단위(m). 개수로 요청 오면 불일치
P-10,테프론 테이프,12mm,롤,테프론;테플론 테이프;씰테이프;테프론 테이프,롤 단위. 개수로 요청 오면 불일치
