experiment	commit	hypothesis	score	error	dom	form	visual	design	decision	notes
0	baseline	current bare CSS	72.0	100	100	100	60	0	KEEP	pre-experiment baseline
1	6fb57d5	industrial slate CSS system	100.0	100	100	100	100	100	KEEP	72→100 guard pass
2	bc2cedb	result summary chips + denser gates	100.0	100	100	100	100	100	KEEP	metric saturated; qualitative 시연 fold improvement; Guard pass after markup adapt
3	ecaed25	stepper wizard 입력→추출→규칙→게이트→질문	100.0	100	100	100	100	100	KEEP	qualitative 시연 pacing; score saturated 100; guard 44 pass
4	ca46b85	projector-scale type 제목·표·칩·스테퍼·CTA	100.0	100	100	100	100	100	KEEP	시연 거리 가독성; score 100; guard 44 pass
5	a7a75ba	사람 확정 열 헤더 CSS 비움 라벨+두꺼운 악센트	100.0	100	100	100	100	100	KEEP	td.human 비움 유지; score 100; guard 44 pass
6	6c4e07d	실패 장면 고스트 버튼 CTA	100.0	100	100	100	100	100	KEEP	/bad 링크 유지; score 100; guard 44 pass
7	af36a84	prefers-reduced-motion 스테퍼 트랜지션 제거	100.0	100	100	100	100	100	KEEP	a11y; score 100; guard 44 pass
8	c30f343	sticky stepper 스크롤 중에도 단계 고정	100.0	100	100	100	100	100	KEEP	시연 거리; score 100; guard 44 pass
9	875cc1f	/bad 게이트 단계(#step-3)부터 시작	100.0	100	100	100	100	100	KEEP	6-8분 시연 박자; score 100; guard 44 pass
10	0cc2efc	ink/muted 대비 상향	100.0	100	100	100	100	100	KEEP	프로젝터 본문 대비; score 100; guard 44 pass
11	92b565f	숫자키 1-5로 스테퍼 점프	100.0	100	100	100	100	100	KEEP	시연 핫키; score 100; guard 44 pass
12	cab11f9	확인 필요 행 전체 하이라이트	100.0	100	100	100	100	100	KEEP	tr:has(td.flag); score 100; guard 44 pass
13	906cc29	scroll-padding-top 56px 스테퍼 가림 방지	100.0	100	100	100	100	100	KEEP	qualitative jump; score 100; guard 44 pass
14	46dbdc5	sticky bottom step-nav	100.0	100	100	100	100	100	KEEP	시연 페이징; score 100; guard 44 pass
15	ba6e1bb	게이트 코드 배지 16px	100.0	100	100	100	100	100	KEEP	프로젝터 스캔; score 100; guard 44 pass
16	0d2fa04	성공기준 문장 왼쪽 액센트	100.0	100	100	100	100	100	KEEP	criterion scan; score 100; guard 44 pass
17	fa66042	미사용 .results/.jump CSS 삭제	100.0	100	100	100	100	100	KEEP	simplicity same metric; score 100; guard 44 pass
18	fbe5f9c	지시↔결과 대조 체크리스트 (PDF p5) — 5개 게이트 전부 통과/위반	100.0	100	100	100	100	100	KEEP	round5 gate features; score 100; guard 44 pass
19	e8c27a1	위반별 권고 조치·확인 담당 + 3역할 확정 흐름 (PDF p6)	100.0	100	100	100	100	100	KEEP	gate.py GATE_ACTION/OWNER 추가; score 100; guard 44 pass
20	a865c65	원문 근거 <mark> 하이라이트 + 원문 추적 비율 칩 (PDF p8·p13)	100.0	100	100	100	100	100	KEEP	/bad 3/6·50% 추적; score 100; guard 44 pass
21	94a07d2	G6 범위 밖 행위 — load_pasted 범위밖 보존, 실패 장면에 공급사 최저가 추가 (PDF p9)	100.0	100	100	100	100	100	KEEP	규칙 백엔드 위반 0 유지; score 100; guard 45 pass (G6 테스트 추가)
22	d486697	판정 배너 계속/재시험 (PDF p10 성공·수정·중단)	100.0	100	100	100	100	100	KEEP	server 테스트에 게이트 단계 단언 추가; score 100; guard 45 pass
23	9a35080	scroll-padding-bottom 72px	100.0	100	100	100	100	100	KEEP	sticky nav overlap; score 100; guard 45 pass
24	8a59ad0	미사용 .linkish/.arrow CSS 삭제	100.0	100	100	100	100	100	KEEP	simplicity; score 100; guard 45 pass
25	505572c	원문 하이라이트 필드 태그 12px	100.0	100	100	100	100	100	KEEP	projector tags; score 100; guard 45 pass
26	cfaf8ca	판정 배너 계속/재시험 글자 확대	100.0	100	100	100	100	100	KEEP	gate step scan; score 100; guard 45 pass
27	7f9fd6f	키보드 힌트 칩 확대	100.0	100	100	100	100	100	KEEP	step-nav projector; score 100; guard 45 pass
