문서ID,유형,버전,항목ID,항목명,정답상태,정답값,원문값,원문시작,원문끝,원문발췌,사유
D04-01,정상,clean,item_id,품목 ID,충족,P-01,P-01,33,37,P-01,품목 ID 원문 존재
D04-01,정상,clean,qty,수량,충족,20,20,46,48,20,양의 정수
D04-01,정상,clean,unit,단위,충족,개,개,49,50,개,표준 단위와 일치
D04-01,정상,clean,need_date,희망일,충족,2026-09-25,2026-09-25,58,68,2026-09-25,특정 날짜
D04-01,정상,clean,delivery_location,배송 위치,충족,A현장 3동 지하1층 자재창고,A현장 3동 지하1층 자재창고,74,90,A현장 3동 지하1층 자재창고,현장명 + 세부 위치
D04-01,정상,clean,spec,규격,충족,50A,50A,38,41,50A,규격 원문 존재
D04-01S,정상,scan,item_id,품목 ID,충족,P-01,P-01,30,34,P-01,품목 ID 원문 존재
D04-01S,정상,scan,qty,수량,모호,,2O,42,44,2O,판독 불가(스캔 손상)
D04-01S,정상,scan,unit,단위,충족,개,개,45,46,개,표준 단위와 일치
D04-01S,정상,scan,need_date,희망일,충족,2026-09-25,2026-09-25,53,63,2026-09-25,특정 날짜
D04-01S,정상,scan,delivery_location,배송 위치,충족,A현장 3동 지하1층 자재창고,A현장 3동 지하1층 자재창고,68,84,A현장 3동 지하1층 자재창고,현장명 + 세부 위치
D04-01S,정상,scan,spec,규격,충족,50A,50A,35,38,50A,규격 원문 존재
D04-02,정상,clean,item_id,품목 ID,충족,P-03,P-03,32,36,P-03,품목 ID 원문 존재
D04-02,정상,clean,qty,수량,충족,40,40,41,43,40,양의 정수
D04-02,정상,clean,unit,단위,충족,본,본,43,44,본,표준 단위와 일치
D04-02,정상,clean,need_date,희망일,충족,9월 26일,9월 26일,61,67,9월 26일,특정 날짜
D04-02,정상,clean,delivery_location,배송 위치,충족,B현장 1동 1층 야적장,B현장 1동 1층 야적장,78,91,B현장 1동 1층 야적장,현장명 + 세부 위치
D04-02,정상,clean,spec,규격,충족,50A,50A,37,40,50A,규격 원문 존재
D04-02S,정상,scan,item_id,품목 ID,충족,P-03,P-03,29,33,P-03,품목 ID 원문 존재
D04-02S,정상,scan,qty,수량,모호,,4O,38,40,4O,판독 불가(스캔 손상)
D04-02S,정상,scan,unit,단위,충족,본,본,40,41,본,표준 단위와 일치
D04-02S,정상,scan,need_date,희망일,충족,9월 26일,9월 26일,57,63,9월 26일,특정 날짜
D04-02S,정상,scan,delivery_location,배송 위치,충족,B현장 1동 1층 야적장,B현장 1동 1층 야적장,73,86,B현장 1동 1층 야적장,현장명 + 세부 위치
D04-02S,정상,scan,spec,규격,충족,50A,50A,34,37,50A,규격 원문 존재
D04-03,정상,clean,item_id,품목 ID,충족,P-09,P-09,58,62,P-09,품목 ID 원문 존재
D04-03,정상,clean,qty,수량,충족,120,120,75,78,120,양의 정수
D04-03,정상,clean,unit,단위,충족,m,m,78,79,m,표준 단위와 일치
D04-03,정상,clean,need_date,희망일,충족,9/28,9/28,89,93,9/28,특정 날짜
D04-03,정상,clean,delivery_location,배송 위치,충족,C현장 정문 게이트 하치장,C현장 정문 게이트 하치장,103,117,C현장 정문 게이트 하치장,현장명 + 세부 위치
D04-03,정상,clean,spec,규격,충족,50A,50A,65,68,50A,규격 원문 존재
D04-03S,정상,scan,item_id,품목 ID,충족,P-09,P-09,53,57,P-09,품목 ID 원문 존재
D04-03S,정상,scan,qty,수량,충족,120,120,69,72,120,양의 정수
D04-03S,정상,scan,unit,단위,충족,m,m,72,73,m,표준 단위와 일치
D04-03S,정상,scan,need_date,희망일,충족,9/28,9/28,82,86,9/28,특정 날짜
D04-03S,정상,scan,delivery_location,배송 위치,충족,C현장 정문 게이트 하치장,C현장 정문 게이트 하치장,95,109,C현장 정문 게이트 하치장,현장명 + 세부 위치
D04-03S,정상,scan,spec,규격,모호,,SOA,60,63,SOA,판독 불가(스캔 손상)
D04-04,정상,clean,item_id,품목 ID,충족,P-07,P-07,33,37,P-07,품목 ID 원문 존재
D04-04,정상,clean,qty,수량,충족,15,15,46,48,15,양의 정수
D04-04,정상,clean,unit,단위,충족,EA,EA,49,51,EA,표준 단위와 일치
D04-04,정상,clean,need_date,희망일,충족,2026-09-30,2026-09-30,59,69,2026-09-30,특정 날짜
D04-04,정상,clean,delivery_location,배송 위치,충족,A현장 2동 옥상 기계실,A현장 2동 옥상 기계실,75,88,A현장 2동 옥상 기계실,현장명 + 세부 위치
D04-04,정상,clean,spec,규격,충족,50A,50A,38,41,50A,규격 원문 존재
D04-04S,정상,scan,item_id,품목 ID,모호,,P-O7,30,34,P-O7,판독 불가(스캔 손상)
D04-04S,정상,scan,qty,수량,충족,15,15,42,44,15,양의 정수
D04-04S,정상,scan,unit,단위,모호,,EA,45,47,EA,품목 미확정으로 표준 단위 비교 불가
D04-04S,정상,scan,need_date,희망일,충족,2026-09-30,2026-09-30,54,64,2026-09-30,특정 날짜
D04-04S,정상,scan,delivery_location,배송 위치,충족,A현장 2동 옥상 기계실,A현장 2동 옥상 기계실,69,82,A현장 2동 옥상 기계실,현장명 + 세부 위치
D04-04S,정상,scan,spec,규격,충족,50A,50A,35,38,50A,규격 원문 존재
D04-05,정상,clean,item_id,품목 ID,충족,P-10,P-10,11,15,P-10,품목 ID 원문 존재
D04-05,정상,clean,qty,수량,충족,10,10,16,18,10,양의 정수
D04-05,정상,clean,unit,단위,충족,롤,롤,18,19,롤,표준 단위와 일치
D04-05,정상,clean,need_date,희망일,충족,2026-09-24,2026-09-24,20,30,2026-09-24,특정 날짜
D04-05,정상,clean,delivery_location,배송 위치,충족,B현장 동측 게이트 자재창고,B현장 동측 게이트 자재창고,33,48,B현장 동측 게이트 자재창고,현장명 + 세부 위치
D04-05,정상,clean,spec,규격,충족,,,,,,품목 ID 확정 → 사전 규격 '12mm' 적용(원문값 없음)
D04-05S,정상,scan,item_id,품목 ID,충족,P-10,P-10,11,15,P-10,품목 ID 원문 존재
D04-05S,정상,scan,qty,수량,모호,,lO,16,18,lO,판독 불가(스캔 손상)
D04-05S,정상,scan,unit,단위,충족,롤,롤,18,19,롤,표준 단위와 일치
D04-05S,정상,scan,need_date,희망일,충족,2026-09-24,2026-09-24,20,30,2026-09-24,특정 날짜
D04-05S,정상,scan,delivery_location,배송 위치,충족,B현장 동측 게이트 자재창고,B현장 동측 게이트 자재창고,33,48,B현장 동측 게이트 자재창고,현장명 + 세부 위치
D04-05S,정상,scan,spec,규격,충족,,,,,,품목 ID 확정 → 사전 규격 '12mm' 적용(원문값 없음)
D04-06,정상,clean,item_id,품목 ID,충족,P-05,P-05,32,36,P-05,품목 ID 원문 존재
D04-06,정상,clean,qty,수량,충족,30,30,41,43,30,양의 정수
D04-06,정상,clean,unit,단위,충족,본,본,43,44,본,표준 단위와 일치
D04-06,정상,clean,need_date,희망일,충족,10월 2일,10월 2일,61,67,10월 2일,특정 날짜
D04-06,정상,clean,delivery_location,배송 위치,충족,C현장 1동 1층 야적장,C현장 1동 1층 야적장,78,91,C현장 1동 1층 야적장,현장명 + 세부 위치
D04-06,정상,clean,spec,규격,충족,50A,50A,37,40,50A,규격 원문 존재
D04-06S,정상,scan,item_id,품목 ID,충족,P-05,P-05,29,33,P-05,품목 ID 원문 존재
D04-06S,정상,scan,qty,수량,모호,,3O,38,40,3O,판독 불가(스캔 손상)
D04-06S,정상,scan,unit,단위,충족,본,본,40,41,본,표준 단위와 일치
D04-06S,정상,scan,need_date,희망일,충족,10월 2일,10월 2일,57,63,10월 2일,특정 날짜
D04-06S,정상,scan,delivery_location,배송 위치,충족,C현장 1동 1층 야적장,C현장 1동 1층 야적장,73,86,C현장 1동 1층 야적장,현장명 + 세부 위치
D04-06S,정상,scan,spec,규격,충족,50A,50A,34,37,50A,규격 원문 존재
D04-07,필수누락,clean,item_id,품목 ID,충족,P-02,P-02,33,37,P-02,품목 ID 원문 존재
D04-07,필수누락,clean,qty,수량,누락,,,,,,수량 없음
D04-07,필수누락,clean,unit,단위,충족,개,개,47,48,개,표준 단위와 일치
D04-07,필수누락,clean,need_date,희망일,충족,2026-09-26,2026-09-26,56,66,2026-09-26,특정 날짜
D04-07,필수누락,clean,delivery_location,배송 위치,충족,A현장 3동 지하1층 자재창고,A현장 3동 지하1층 자재창고,72,88,A현장 3동 지하1층 자재창고,현장명 + 세부 위치
D04-07,필수누락,clean,spec,규격,충족,100A,100A,38,42,100A,규격 원문 존재
D04-07S,필수누락,scan,item_id,품목 ID,충족,P-02,P-02,30,34,P-02,품목 ID 원문 존재
D04-07S,필수누락,scan,qty,수량,누락,,,,,,수량 없음
D04-07S,필수누락,scan,unit,단위,충족,개,개,43,44,개,표준 단위와 일치
D04-07S,필수누락,scan,need_date,희망일,충족,2026-09-26,2026-09-26,51,61,2026-09-26,특정 날짜
D04-07S,필수누락,scan,delivery_location,배송 위치,충족,A현장 3동 지하1층 자재창고,A현장 3동 지하1층 자재창고,66,82,A현장 3동 지하1층 자재창고,현장명 + 세부 위치
D04-07S,필수누락,scan,spec,규격,모호,,lOOA,35,39,lOOA,판독 불가(스캔 손상)
D04-08,필수누락,clean,item_id,품목 ID,모호,,볼밸브,58,61,볼밸브,"별칭만 있음 → 표준명 후보(P-01, P-02) 사람 확정"
D04-08,필수누락,clean,qty,수량,충족,12,12,68,70,12,양의 정수
D04-08,필수누락,clean,unit,단위,충족,개,개,70,71,개,표준 단위와 일치
D04-08,필수누락,clean,need_date,희망일,충족,2026-09-29,2026-09-29,81,91,2026-09-29,특정 날짜
D04-08,필수누락,clean,delivery_location,배송 위치,충족,B현장 1동 1층 야적장,B현장 1동 1층 야적장,101,114,B현장 1동 1층 야적장,현장명 + 세부 위치
D04-08,필수누락,clean,spec,규격,누락,,,,,,규격 없음(품목 ID 미확정)
D04-08S,필수누락,scan,item_id,품목 ID,모호,,볼밸브,53,56,볼밸브,"별칭만 있음 → 표준명 후보(P-01, P-02) 사람 확정"
D04-08S,필수누락,scan,qty,수량,모호,,l2,62,64,l2,판독 불가(스캔 손상)
D04-08S,필수누락,scan,unit,단위,충족,개,개,64,65,개,표준 단위와 일치
D04-08S,필수누락,scan,need_date,희망일,충족,2026-09-29,2026-09-29,74,84,2026-09-29,특정 날짜
D04-08S,필수누락,scan,delivery_location,배송 위치,충족,B현장 1동 1층 야적장,B현장 1동 1층 야적장,93,106,B현장 1동 1층 야적장,현장명 + 세부 위치
D04-08S,필수누락,scan,spec,규격,누락,,,,,,규격 없음(품목 ID 미확정)
D04-09,필수누락,clean,item_id,품목 ID,충족,P-04,P-04,32,36,P-04,품목 ID 원문 존재
D04-09,필수누락,clean,qty,수량,충족,25,25,42,44,25,양의 정수
D04-09,필수누락,clean,unit,단위,누락,,,,,,단위 없음
D04-09,필수누락,clean,need_date,희망일,충족,9월 30일,9월 30일,61,67,9월 30일,특정 날짜
D04-09,필수누락,clean,delivery_location,배송 위치,충족,C현장 정문 게이트 하치장,C현장 정문 게이트 하치장,78,92,C현장 정문 게이트 하치장,현장명 + 세부 위치
D04-09,필수누락,clean,spec,규격,충족,100A,100A,37,41,100A,규격 원문 존재
D04-09S,필수누락,scan,item_id,품목 ID,충족,P-04,P-04,29,33,P-04,품목 ID 원문 존재
D04-09S,필수누락,scan,qty,수량,모호,,2S,39,41,2S,판독 불가(스캔 손상)
D04-09S,필수누락,scan,unit,단위,누락,,,,,,단위 없음
D04-09S,필수누락,scan,need_date,희망일,충족,9월 30일,9월 30일,57,63,9월 30일,특정 날짜
D04-09S,필수누락,scan,delivery_location,배송 위치,충족,C현장 정문 게이트 하치장,C현장 정문 게이트 하치장,73,87,C현장 정문 게이트 하치장,현장명 + 세부 위치
D04-09S,필수누락,scan,spec,규격,충족,100A,100A,34,38,100A,규격 원문 존재
D04-10,필수누락,clean,item_id,품목 ID,충족,P-03,P-03,11,15,P-03,품목 ID 원문 존재
D04-10,필수누락,clean,qty,수량,충족,40,40,20,22,40,양의 정수
D04-10,필수누락,clean,unit,단위,충족,본,본,22,23,본,표준 단위와 일치
D04-10,필수누락,clean,need_date,희망일,누락,,,,,,희망일 없음
D04-10,필수누락,clean,delivery_location,배송 위치,충족,A현장 2동 옥상 기계실,A현장 2동 옥상 기계실,26,39,A현장 2동 옥상 기계실,현장명 + 세부 위치
D04-10,필수누락,clean,spec,규격,충족,50A,50A,16,19,50A,규격 원문 존재
D04-10S,필수누락,scan,item_id,품목 ID,충족,P-03,P-03,11,15,P-03,품목 ID 원문 존재
D04-10S,필수누락,scan,qty,수량,충족,40,40,20,22,40,양의 정수
D04-10S,필수누락,scan,unit,단위,충족,본,본,22,23,본,표준 단위와 일치
D04-10S,필수누락,scan,need_date,희망일,누락,,,,,,희망일 없음
D04-10S,필수누락,scan,delivery_location,배송 위치,충족,A현장 2동 옥상 기계실,A현장 2동 옥상 기계실,26,39,A현장 2동 옥상 기계실,현장명 + 세부 위치
D04-10S,필수누락,scan,spec,규격,모호,,SOA,16,19,SOA,판독 불가(스캔 손상)
D04-11,필수누락,clean,item_id,품목 ID,충족,P-09,P-09,33,37,P-09,품목 ID 원문 존재
D04-11,필수누락,clean,qty,수량,누락,,,,,,수량 없음
D04-11,필수누락,clean,unit,단위,누락,,,,,,단위 없음
D04-11,필수누락,clean,need_date,희망일,충족,2026-10-01,2026-10-01,45,55,2026-10-01,특정 날짜
D04-11,필수누락,clean,delivery_location,배송 위치,충족,B현장 동측 게이트 자재창고,B현장 동측 게이트 자재창고,61,76,B현장 동측 게이트 자재창고,현장명 + 세부 위치
D04-11,필수누락,clean,spec,규격,충족,,,,,,품목 ID 확정 → 사전 규격 '50A' 적용(원문값 없음)
D04-11S,필수누락,scan,item_id,품목 ID,충족,P-09,P-09,30,34,P-09,품목 ID 원문 존재
D04-11S,필수누락,scan,qty,수량,누락,,,,,,수량 없음
D04-11S,필수누락,scan,unit,단위,누락,,,,,,단위 없음
D04-11S,필수누락,scan,need_date,희망일,모호,,2O26-lO-Ol,41,51,2O26-lO-Ol,판독 불가(스캔 손상)
D04-11S,필수누락,scan,delivery_location,배송 위치,충족,B현장 동측 게이트 자재창고,B현장 동측 게이트 자재창고,56,71,B현장 동측 게이트 자재창고,현장명 + 세부 위치
D04-11S,필수누락,scan,spec,규격,충족,,,,,,품목 ID 확정 → 사전 규격 '50A' 적용(원문값 없음)
D04-12,필수누락,clean,item_id,품목 ID,모호,,PVC관,8,12,PVC관,"별칭만 있음 → 표준명 후보(P-03, P-04) 사람 확정"
D04-12,필수누락,clean,qty,수량,충족,30,30,13,15,30,양의 정수
D04-12,필수누락,clean,unit,단위,충족,본,본,15,16,본,표준 단위와 일치
D04-12,필수누락,clean,need_date,희망일,누락,,,,,,희망일 없음
D04-12,필수누락,clean,delivery_location,배송 위치,누락,,,,,,배송 위치 없음
D04-12,필수누락,clean,spec,규격,누락,,,,,,규격 없음(품목 ID 미확정)
D04-13,모호표현,clean,item_id,품목 ID,충족,P-01,P-01,8,12,P-01,품목 ID 원문 존재
D04-13,모호표현,clean,qty,수량,충족,20,20,13,15,20,양의 정수
D04-13,모호표현,clean,unit,단위,충족,개,개,15,16,개,표준 단위와 일치
D04-13,모호표현,clean,need_date,희망일,모호,,다음 주,18,22,다음 주,모호 표현 '다음 주' → 날짜로 단정하지 않음
D04-13,모호표현,clean,delivery_location,배송 위치,모호,,A현장,0,3,A현장,현장명만 있고 세부 위치 없음
D04-13,모호표현,clean,spec,규격,충족,,,,,,품목 ID 확정 → 사전 규격 '50A' 적용(원문값 없음)
D04-13S,모호표현,scan,item_id,품목 ID,충족,P-01,P-01,7,11,P-01,품목 ID 원문 존재
D04-13S,모호표현,scan,qty,수량,모호,,2O,12,14,2O,판독 불가(스캔 손상)
D04-13S,모호표현,scan,unit,단위,충족,개,개,14,15,개,표준 단위와 일치
D04-13S,모호표현,scan,need_date,희망일,모호,,다음 주,16,20,다음 주,모호 표현 '다음 주' → 날짜로 단정하지 않음
D04-13S,모호표현,scan,delivery_location,배송 위치,모호,,A현장,0,3,A현장,현장명만 있고 세부 위치 없음
D04-13S,모호표현,scan,spec,규격,충족,,,,,,품목 ID 확정 → 사전 규격 '50A' 적용(원문값 없음)
D04-14,모호표현,clean,item_id,품목 ID,충족,P-07,P-07,33,37,P-07,품목 ID 원문 존재
D04-14,모호표현,clean,qty,수량,충족,15,15,46,48,15,양의 정수
D04-14,모호표현,clean,unit,단위,충족,개,개,49,50,개,표준 단위와 일치
